1.º;ITA Filippo Ganna;Ineos Grenadiers;8 min 47 s
2.º;ITA Edoardo Affini;Jumbo-Visma;+ 10 s
3.º;NOR Tobias Foss;Jumbo-Visma;+ 13 s
4.º;POR João Almeida;Deceuninck-Quick Step;+ 17 s
5.º;FRA Rémi Cavagna;Deceuninck-Quick Step;+ 18 s
6.º;NED Jos van Emden;Jumbo-Visma;+ 18 s
7.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 19 s
8.º;GER Max Walscheid;Qhubeka Assos;+ 19 s
9.º;AUT Matthias Brändle;Israel Start-Up Nation;+ 22 s
10.º;ITA Gianni Moscon;Ineos Grenadiers;+ 23 s
1.º;ITA Filippo Ganna;Ineos Grenadiers;4 h 29 min 53 s
2.º;ITA Edoardo Affini;Jumbo-Visma;+ 13 s
3.º;NOR Tobias Foss;Jumbo-Visma;+ 16 s
4.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 20 s
5.º;POR João Almeida;Deceuninck-Quick Step;+ 20 s
6.º;FRA Rémi Cavagna;Deceuninck-Quick Step;+ 21 s
7.º;NED Jos van Emden;Jumbo-Visma;+ 21 s
8.º;GER Max Walscheid;Qhubeka Assos;+ 22 s
9.º;AUT Matthias Brändle;Israel Start-Up Nation;+ 25 s
10.º;ITA Gianni Moscon;Ineos Grenadiers;+ 26 s
1.º;ITA Filippo Ganna;Ineos Grenadiers;8 h 51 min 26 s
2.º;NOR Tobias Foss;Jumbo-Visma;+ 16 s
3.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 20 s
4.º;POR João Almeida;Deceuninck-Quick Step;+ 20 s
5.º;FRA Rémi Cavagna;Deceuninck-Quick Step;+ 21 s
6.º;ITA Gianni Moscon;Ineos Grenadiers;+ 26 s
7.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 27 s
8.º;ITA Alberto Bettiol;EF Education-Nippo;+ 29 s
9.º;ESP Jonathan Castroviejo;Ineos Grenadiers;+ 30 s
10.º;ITA Diego Ulissi;UAE Team Emirates;+ 32 s
1.º;ITA Alessandro De Marchi;Israel Start-Up Nation;13 h 50 min 44 s
2.º;USA Joe Dombrowski;UAE Team Emirates;+ 22 s
3.º;BEL Louis Vervaeke;Alpecin-Fenix;+ 42 s
4.º;POR Nélson Filippe Oliveira;Movistar Team;+ 48 s
5.º;HUN Attila Valter;Groupama-FDJ;+ 1 min 00 s
6.º;FRA Nicolas Edet;Cofidis, Solutions Crédits;+ 1 min 15 s
7.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 1 min 24 s
8.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 1 min 28 s
9.º;ITA Alberto Bettiol;EF Education-Nippo;+ 1 min 37 s
10.º;GBR Hugh Carthy;EF Education-Nippo;+ 1 min 38 s
1.º;ITA Alessandro De Marchi;Israel Start-Up Nation;17 h 57 min 45 s
2.º;BEL Louis Vervaeke;Alpecin-Fenix;+ 42 s
3.º;POR Nélson Filippe Oliveira;Movistar Team;+ 48 s
4.º;HUN Attila Valter;Groupama-FDJ;+ 1 min 00 s
5.º;FRA Nicolas Edet;Cofidis, Solutions Crédits;+ 1 min 15 s
6.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 1 min 24 s
7.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 1 min 28 s
8.º;ITA Alberto Bettiol;EF Education-Nippo;+ 1 min 37 s
9.º;GBR Hugh Carthy;EF Education-Nippo;+ 1 min 38 s
10.º;COL Egan Bernal;Ineos Grenadiers;+ 1 min 39 s
1.º;HUN Attila Valter;Groupama-FDJ;22 h 17 min 06 s
2.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 11 s
3.º;COL Egan Bernal;Ineos Grenadiers;+ 16 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 24 s
5.º;BEL Louis Vervaeke;Alpecin-Fenix;+ 25 s
6.º;GBR Hugh Carthy;EF Education-Nippo;+ 38 s
7.º;ITA Damiano Caruso;Bahrain Victorious;+ 39 s
8.º;ITA Giulio Ciccone;Trek-Segafredo;+ 41 s
9.º;IRL Daniel Martin;Israel Start-Up Nation;+ 47 s
10.º;GBR Simon Yates;Team BikeExchange;+ 49 s
1.º;HUN Attila Valter;Groupama-FDJ;26 h 59 min 18 s
2.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 11 s
3.º;COL Egan Bernal;Ineos Grenadiers;+ 16 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 24 s
5.º;BEL Louis Vervaeke;Alpecin-Fenix;+ 25 s
6.º;GBR Hugh Carthy;EF Education-Nippo;+ 38 s
7.º;ITA Damiano Caruso;Bahrain Victorious;+ 39 s
8.º;ITA Giulio Ciccone;Trek-Segafredo;+ 41 s
9.º;IRL Daniel Martin;Israel Start-Up Nation;+ 47 s
10.º;GBR Simon Yates;Team BikeExchange;+ 49 s
1.º;HUN Attila Valter;Groupama-FDJ;31 h 10 min 53 s
2.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 11 s
3.º;COL Egan Bernal;Ineos Grenadiers;+ 16 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 24 s
5.º;GBR Hugh Carthy;EF Education-Nippo;+ 38 s
6.º;ITA Damiano Caruso;Bahrain Victorious;+ 39 s
7.º;ITA Giulio Ciccone;Trek-Segafredo;+ 41 s
8.º;IRL Daniel Martin;Israel Start-Up Nation;+ 47 s
9.º;GBR Simon Yates;Team BikeExchange;+ 49 s
10.º;BEL Louis Vervaeke;Alpecin-Fenix;+ 50 s
1.º;COL Egan Bernal;Ineos Grenadiers;35 h 19 min 22 s
2.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 15 s
3.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 21 s
4.º;ITA Giulio Ciccone;Trek-Segafredo;+ 36 s
5.º;HUN Attila Valter;Groupama-FDJ;+ 43 s
6.º;GBR Hugh Carthy;EF Education-Nippo;+ 44 s
7.º;ITA Damiano Caruso;Bahrain Victorious;+ 45 s
8.º;IRL Daniel Martin;Israel Start-Up Nation;+ 51 s
9.º;GBR Simon Yates;Team BikeExchange;+ 55 s
10.º;ITA Davide Formolo;UAE Team Emirates;+ 1 min 01 s
1.º;COL Egan Bernal;Ineos Grenadiers;38 h 30 min 17 s
2.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 14 s
3.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 22 s
4.º;ITA Giulio Ciccone;Trek-Segafredo;+ 37 s
5.º;HUN Attila Valter;Groupama-FDJ;+ 44 s
6.º;GBR Hugh Carthy;EF Education-Nippo;+ 45 s
7.º;ITA Damiano Caruso;Bahrain Victorious;+ 46 s
8.º;IRL Daniel Martin;Israel Start-Up Nation;+ 52 s
9.º;GBR Simon Yates;Team BikeExchange;+ 56 s
10.º;ITA Davide Formolo;UAE Team Emirates;+ 1 min 02 s
1.º;COL Egan Bernal;Ineos Grenadiers;42 h 35 min 21 s
2.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 45 s
3.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 12 s
4.º;GBR Hugh Carthy;EF Education-Nippo;+ 1 min 17 s
5.º;GBR Simon Yates;Team BikeExchange;+ 1 min 22 s
6.º;GER Emanuel Buchmann;Bora-Hansgrohe;+ 1 min 50 s
7.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 2 min 22 s
8.º;ITA Giulio Ciccone;Trek-Segafredo;+ 2 min 24 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 2 min 49 s
10.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 3 min 15 s
1.º;COL Egan Bernal;Ineos Grenadiers;48 h 29 min 23 s
2.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 45 s
3.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 12 s
4.º;GBR Hugh Carthy;EF Education-Nippo;+ 1 min 17 s
5.º;GBR Simon Yates;Team BikeExchange;+ 1 min 22 s
6.º;GER Emanuel Buchmann;Bora-Hansgrohe;+ 1 min 50 s
7.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 2 min 22 s
8.º;ITA Giulio Ciccone;Trek-Segafredo;+ 2 min 24 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 2 min 49 s
10.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 3 min 15 s
1.º;COL Egan Bernal;Ineos Grenadiers;53 h 11 min 42 s
2.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 45 s
3.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 12 s
4.º;GBR Hugh Carthy;EF Education-Nippo;+ 1 min 17 s
5.º;GBR Simon Yates;Team BikeExchange;+ 1 min 22 s
6.º;GER Emanuel Buchmann;Bora-Hansgrohe;+ 1 min 50 s
7.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 2 min 22 s
8.º;ITA Giulio Ciccone;Trek-Segafredo;+ 2 min 24 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 2 min 49 s
10.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 3 min 15 s
1.º;COL Egan Bernal;Ineos Grenadiers;58 h 30 min 47 s
2.º;GBR Simon Yates;Team BikeExchange;+ 1 min 33 s
3.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 51 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 1 min 57 s
5.º;GBR Hugh Carthy;EF Education-Nippo;+ 2 min 11 s
6.º;GER Emanuel Buchmann;Bora-Hansgrohe;+ 2 min 36 s
7.º;ITA Giulio Ciccone;Trek-Segafredo;+ 3 min 03 s
8.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 3 min 52 s
9.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 3 min 54 s
10.º;FRA Romain Bardet;Team DSM;+ 4 min 31 s
1.º;COL Egan Bernal;Ineos Grenadiers;62 h 13 min 33 s
2.º;GBR Simon Yates;Team BikeExchange;+ 1 min 33 s
3.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 51 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 1 min 57 s
5.º;GBR Hugh Carthy;EF Education-Nippo;+ 2 min 11 s
6.º;ITA Giulio Ciccone;Trek-Segafredo;+ 3 min 03 s
7.º;BEL Remco Evenepoel;Deceuninck-Quick Step;+ 3 min 52 s
8.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 3 min 54 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 5 min 37 s
10.º;HUN Attila Valter;Groupama-FDJ;+ 7 min 49 s
1.º;COL Egan Bernal;Ineos Grenadiers;66 h 36 min 04 s
2.º;ITA Damiano Caruso;Bahrain Victorious;+ 2 min 24 s
3.º;GBR Hugh Carthy;EF Education-Nippo;+ 3 min 40 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 4 min 18 s
5.º;GBR Simon Yates;Team BikeExchange;+ 4 min 20 s
6.º;ITA Giulio Ciccone;Trek-Segafredo;+ 4 min 31 s
7.º;FRA Romain Bardet;Team DSM;+ 5 min 02 s
8.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 7 min 17 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 8 min 20 s
10.º;POR João Almeida;Deceuninck-Quick Step;+ 10 min 01 s
1.º;COL Egan Bernal;Ineos Grenadiers;71 h 32 min 05 s
2.º;ITA Damiano Caruso;Bahrain Victorious;+ 2 min 21 s
3.º;GBR Simon Yates;Team BikeExchange;+ 3 min 23 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 6 min 03 s
5.º;GBR Hugh Carthy;EF Education-Nippo;+ 6 min 09 s
6.º;FRA Romain Bardet;Team DSM;+ 6 min 31 s
7.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 7 min 17 s
8.º;POR João Almeida;Deceuninck-Quick Step;+ 8 min 45 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 9 min 18 s
10.º;ITA Giulio Ciccone;Trek-Segafredo;+ 11 min 26 s
1.º;COL Egan Bernal;Ineos Grenadiers;77 h 10 min 18 s
2.º;ITA Damiano Caruso;Bahrain Victorious;+ 2 min 21 s
3.º;GBR Simon Yates;Team BikeExchange;+ 3 min 23 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 6 min 03 s
5.º;GBR Hugh Carthy;EF Education-Nippo;+ 6 min 09 s
6.º;FRA Romain Bardet;Team DSM;+ 6 min 31 s
7.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 7 min 17 s
8.º;POR João Almeida;Deceuninck-Quick Step;+ 8 min 45 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 9 min 18 s
10.º;IRL Daniel Martin;Israel Start-Up Nation;+ 13 min 37 s
1.º;COL Egan Bernal;Ineos Grenadiers;81 h 13 min 37 s
2.º;ITA Damiano Caruso;Bahrain Victorious;+ 2 min 29 s
3.º;GBR Simon Yates;Team BikeExchange;+ 2 min 49 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 6 min 11 s
5.º;GBR Hugh Carthy;EF Education-Nippo;+ 7 min 10 s
6.º;FRA Romain Bardet;Team DSM;+ 7 min 32 s
7.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 7 min 42 s
8.º;POR João Almeida;Deceuninck-Quick Step;+ 8 min 26 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 10 min 19 s
10.º;IRL Daniel Martin;Israel Start-Up Nation;+ 13 min 55 s
1.º;COL Egan Bernal;Ineos Grenadiers;85 h 41 min 47 s
2.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 59 s
3.º;GBR Simon Yates;Team BikeExchange;+ 3 min 23 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 7 min 07 s
5.º;FRA Romain Bardet;Team DSM;+ 7 min 48 s
6.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 7 min 56 s
7.º;GBR Hugh Carthy;EF Education-Nippo;+ 8 min 22 s
8.º;POR João Almeida;Deceuninck-Quick Step;+ 8 min 50 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 12 min 39 s
10.º;IRL Daniel Martin;Israel Start-Up Nation;+ 16 min 48 s
1.º;COL Egan Bernal;Ineos Grenadiers;86 h 17 min 28 s
2.º;ITA Damiano Caruso;Bahrain Victorious;+ 1 min 29 s
3.º;GBR Simon Yates;Team BikeExchange;+ 4 min 15 s
4.º;RUS Aleksandr Vlasov;Astana-Premier Tech;+ 6 min 40 s
5.º;COL Daniel Felipe Martínez;Ineos Grenadiers;+ 7 min 24 s
6.º;POR João Almeida;Deceuninck-Quick Step;+ 7 min 24 s
7.º;FRA Romain Bardet;Team DSM;+ 8 min 5 s
8.º;GBR Hugh Carthy;EF Education-Nippo;+ 8 min 56 s
9.º;NOR Tobias Foss;Jumbo-Visma;+ 11 min 44 s
10.º;IRL Daniel Martin;Israel Start-Up Nation;+ 18 min 35 s